dx = 0.010000, dy = 0.010204
t = 0.100000
0.475000 0.739796 0.344826
0.475000 0.750000 0.350695
0.475000 0.760204 0.352451
0.475000 0.770408 0.349960
0.475000 0.780612 0.343189
0.475000 0.790816 0.332213
0.475000 0.801020 0.317217
0.475000 0.811224 0.298494
0.475000 0.821429 0.276448
0.475000 0.831633 0.251581
0.475000 0.841837 0.224489
0.475000 0.852041 0.195851
0.475000 0.862245 0.166415
0.475000 0.872449 0.136982
0.475000 0.882653 0.108391
0.485000 0.637755 0.111953
0.485000 0.647959 0.134865
0.485000 0.658163 0.158367
0.485000 0.668367 0.181967
0.485000 0.678571 0.205162
0.485000 0.688776 0.227438
0.485000 0.698980 0.248282
0.485000 0.709184 0.267194
0.485000 0.719388 0.283695
0.485000 0.729592 0.297345
0.485000 0.739796 0.307754
0.485000 0.750000 0.314596
0.485000 0.760204 0.317622
0.485000 0.770408 0.316673
0.485000 0.780612 0.311687
0.485000 0.790816 0.302706
0.485000 0.801020 0.289881
0.485000 0.811224 0.273471
0.485000 0.821429 0.253842
0.485000 0.831633 0.231457
0.485000 0.841837 0.206873
0.485000 0.852041 0.180727
0.485000 0.862245 0.153724
0.485000 0.872449 0.126623
0.485000 0.882653 0.100219
0.495000 0.647959 0.106257
0.495000 0.658163 0.127386
0.495000 0.668367 0.148915
0.495000 0.678571 0.170364
0.495000 0.688776 0.191239
0.495000 0.698980 0.211039
0.495000 0.709184 0.229273
0.495000 0.719388 0.245461
0.495000 0.729592 0.259160
0.495000 0.739796 0.269967
0.495000 0.750000 0.277543
0.495000 0.760204 0.281618
0.495000 0.770408 0.282010
0.495000 0.780612 0.278630
0.495000 0.790816 0.271493
0.495000 0.801020 0.260717
0.495000 0.811224 0.246528
0.495000 0.821429 0.229256
0.495000 0.831633 0.209329
0.495000 0.841837 0.187265
0.495000 0.852041 0.163659
0.495000 0.862245 0.139174
0.495000 0.872449 0.114526
0.505000 0.668367 0.117837
0.505000 0.678571 0.137311
0.505000 0.688776 0.156541
0.505000 0.698980 0.175044
0.505000 0.709184 0.192338
0.505000 0.719388 0.207951
0.505000 0.729592 0.221435
0.505000 0.739796 0.232384
0.505000 0.750000 0.240445
0.505000 0.760204 0.245334
0.505000 0.770408 0.246848
0.505000 0.780612 0.244875
0.505000 0.790816 0.239402
0.505000 0.801020 0.230522
0.505000 0.811224 0.218427
0.505000 0.821429 0.203416
0.505000 0.831633 0.185880
0.505000 0.841837 0.166299
0.505000 0.852041 0.145232
0.505000 0.862245 0.123297
0.505000 0.872449 0.101167
0.515000 0.678571 0.106761
0.515000 0.688776 0.124127
0.515000 0.698980 0.141099
0.515000 0.709184 0.157209
0.515000 0.719388 0.171993
0.515000 0.729592 0.185007
0.515000 0.739796 0.195843
0.515000 0.750000 0.204140
0.515000 0.760204 0.209601
0.515000 0.770408 0.212007
0.515000 0.780612 0.211225
0.515000 0.790816 0.207221
0.515000 0.801020 0.200059
0.515000 0.811224 0.189905
0.515000 0.821429 0.177025
0.515000 0.831633 0.161778
0.515000 0.841837 0.144609
0.515000 0.852041 0.126035
0.515000 0.862245 0.106637
0.525000 0.698980 0.109886
0.525000 0.709184 0.124586
0.525000 0.719388 0.138305
0.525000 0.729592 0.150607
0.525000 0.739796 0.161083
0.525000 0.750000 0.169370
0.525000 0.760204 0.175163
0.525000 0.770408 0.178227
0.525000 0.780612 0.178416
0.525000 0.790816 0.175673
0.525000 0.801020 0.170038
0.525000 0.811224 0.161653
0.525000 0.821429 0.150754
0.525000 0.831633 0.137668
0.525000 0.841837 0.122806
0.525000 0.852041 0.106648
0.535000 0.719388 0.107493
0.535000 0.729592 0.118856
0.535000 0.739796 0.128741
0.535000 0.750000 0.136783
0.535000 0.760204 0.142673
0.535000 0.770408 0.146168
0.535000 0.780612 0.147105
0.535000 0.790816 0.145411
0.535000 0.801020 0.141106
0.535000 0.811224 0.134307
0.535000 0.821429 0.125223
0.535000 0.831633 0.114151
0.535000 0.841837 0.101469
0.545000 0.750000 0.106926
0.545000 0.760204 0.112692
0.545000 0.770408 0.116396
0.545000 0.780612 0.117866
0.545000 0.790816 0.117013
0.545000 0.801020 0.113839
0.545000 0.811224 0.108438
0.545000 0.821429 0.100995
